feature,statistic,p_value,drift_detected
Date,0.9952153110047847,0.0,True
MaxTemp,0.3603204278720143,8.295788074817679e-25,True
Temp3pm,0.1757853112563138,4.0462164766956245e-06,True
Humidity3pm,0.1698406861848194,9.69318203205034e-06,True
Temp9am,0.3339106725139189,2.8159392657739537e-21,True
WindGustSpeed,0.19239031123402106,2.994136630506689e-07,True
Pressure3pm,0.31099237648134015,1.872481347023721e-18,True
MinTemp,0.32883874402692015,1.2399992620712469e-20,True
WindGustDir,0.9521531100478469,2.457291888291412e-276,True
WindSpeed9am,0.22013640952570113,2.2465061478658198e-09,True
Sunshine,0.32857177828459344,1.3396945982629066e-20,True
Cloud3pm,0.2892691380619624,5.571597142604553e-16,True
Pressure9am,0.3687076191358285,5.419790091869173e-26,True
Humidity9am,0.15158737148987578,0.00011703835653158334,True
Evaporation,0.5289216392663999,4.618858243742535e-55,True
Cloud9am,0.20793043462460292,2.1023928670210317e-08,True
WindSpeed3pm,0.19702854131718633,1.3856545271787934e-07,True
RainToday,0.55442223052801,6.01587057338533e-61,True
WindDir3pm,0.937799043062201,1.6021283746654174e-252,True
Rainfall,0.5918693179347055,2.5521783642617808e-70,True
WindDir9am,0.937799043062201,1.6021283746654174e-252,True
Location,0.7791701609441275,1.1326148443130935e-134,True
